myosd_id,label,place_name,start_lat,start_lon,River_basin_Sea
593,MYOSD593_2016-06_1,"Strandbad Sehestedt am Jadebusen, Jade, Nordsee",53.436589,8.294995,North Sea
597,MYOSD597_2016-06_1,Pinnau bei Klevendeich,53.6739428,9.6100402,Elbe
598,MYOSD598_2016-06_1,"NOK, Klein K_nigsf_rde",54.352755,9.8908044,Eider
599,MYOSD599_2016-06_1,"Elbe, Dresden",51.023182,13.841583,Elbe
601,MYOSD601_2016-06_1,"Hamburg, Elbe",53.5446794,9.9947653,Elbe
604,MYOSD604_2016-06_1,Greffen,51.9687919,8.1449802,Ems
605,MYOSD605_2016-06_1,"Helgoland, Nordstrand Mole",53.587907,6.73205,North Sea
606,MYOSD606_2016-06_1,T•À_skend_r Siel,53.587907,6.73205,North Sea
608,MYOSD608_2016-06_1,"Oranienburg, Lehnitz",52.7576533,13.2745683,Elbe
609,MYOSD609_2016-06_1,"Cafe Sand, Bremen",53.0690189,8.8230593,Weser
610,MYOSD610_2016-06_1,"Mei_en,Elbe",51.162515,13.479329,Elbe
611,MYOSD611_2016-06_1,Sielhaus Heringssand Hellschen Unterschaar,54.220556,8.840278,North Sea
612,MYOSD612_2016-06_1,"op'n Bulln, Elbe",53.555977,9.8045055,Elbe
613,MYOSD613_2016-06_1,"Magdeburger Hafen, Hamburg, Elbe",53.5421989,10.00010066,Elbe
616,MYOSD616_2016-06_1,"Dresden, Elbe",51.0625664,13.76481269,Elbe
617,MYOSD617_2016-06_1,Kl_rwerk Juist,53.668872,6.942297,North Sea
618,MYOSD618_2016-06_1,Ziegenwerder/Oder- (Frankfurter oder),52.33547,14.56153,Oder
622,MYOSD622_2016-06_1,"Landwehr, Nord-Ostsee-Kanal",54.34437549,9.977652244,Eider
623,MYOSD623_2016-06_1,Yachthafen Norddeich,53.6247279,7.152462577,North Sea
624,MYOSD624_2016-06_1,Warnow Rostock Gehlsdorf,54.111306,12.090791,Warnow/Peene
626,MYOSD626_2016-06_1,"Else, B•À_nde, Nordring 15 (Kanu- und Segel-Club B•À_nde e. V.)",52.19948,8.58057,Weser
627,MYOSD627_2016-06_1,Au_enpriel Langwardergroden,53.60678361,8.34817848,North Sea
628,MYOSD628_2016-06_1,"Wilhelmshaven, Jadebusen",53.5117694,8.1365246,North Sea
629,MYOSD629_2016-06_1,Bremen gegen•À_ber von cafe sand,53.0690407,8.8227852,Weser
630,MYOSD630_2016-06_1,Flensburger F_rde,54.823923,9.490977,Baltic Sea
631,MYOSD631_2016-06_1,"Rundwanderweg Dar_er Ort, in Verl_ngerung Leuchtturmweg",54.45564504,12.55616521,Baltic Sea
632,MYOSD632_2016-06_1,"Hannover, Strandbar",52.37142397,9.717868315,Weser
633,MYOSD633_2016-06_1,Schwentine B202 / Rosenfelderse,54.28065279,10.26580296,Schlei/Trave
634,MYOSD634_2016-06_1,"Berlin Wedding, Panke",52.545328,13.3745633,Elbe
635,MYOSD635_2016-06_1,"Bremen, Werdersee",53.054566,8.851576,Weser
637,MYOSD637_2016-06_1,"Berlin, Nordhafen, Spandau",52.55537497,13.21597447,Elbe
638,MYOSD638_2016-06_1,"neuk_llner schifffahrtskanal, Berlin Ecke Elbestra_e",52.48697151,13.44052884,Elbe
642,MYOSD642_2016-06_1,"Wildeshausen, Hunte",53.00067498,8.300748663,Weser
643,MYOSD643_2016-06_1,"Prerow, Strandwanderweg, H_he Strandzugang 34",54.47349355,12.50018105,Baltic Sea
644,MYOSD644_2016-06_1,"Berlin, stralau- Spree",52.496267,13.47225,Elbe
645,MYOSD645_2016-06_1,"Bremen, Steg an der Weserpromenade N_he Strasse Fangturm",53.0788583,8.79639269,Weser
647,MYOSD647_2016-06_1,"Travenbr•À_ck, Trave",53.82704019,10.3358849,Schlei/Trave
649,MYOSD649_2016-06_1,"Bremen, Weser, Haven",53.118955,8.73302,Weser
652,MYOSD652_2016-06_1,Cottbus (Spree),51.7628576,14.341562,Elbe
653,MYOSD653_2016-06_1,"Bremen-Blumenthal, R_nnebecker Hafen",53.217672,8.498342,Weser
654,MYOSD654_2016-06_1,Nordstrandischmoor,54.550117,8.798233,North Sea
655,MYOSD655_2016-06_1,Pellworm,54.494339,8.66903,North Sea
661,MYOSD661_2016-06_1,Greifswalder Bodden,54.212333,13.493833,Baltic Sea
663,MYOSD663_2016-06_1,"Niendorf, Ostsee",53.99483813,10.81719466,Baltic Sea
666,MYOSD666_2016-06_1,Nordsee S•À_dstrand Wilhelmshaven,53.511,8.135,North Sea
668,MYOSD668_2016-06_1,Seebr•À_cke Gr•À_nstrand Travem•À_nde,53.969976,10.88312899,Baltic Sea
670,MYOSD670_2016-06_1,"Heimbruch, Pippensen, Buxtehude",53.439517,9.673611,Elbe
672,MYOSD672_2016-06_1,"Hamburg, Elbe",53.544821,9.972386,Elbe
673,MYOSD673_2016-06_1,"Weende, G_ttingen, Niedersachsen - Leine",51.572006,9.9157579,Weser
674,MYOSD674_2016-06_1,"Glauchau, Zwickauer Mulde",50.8154685,12.515454,Elbe
676,MYOSD676_2016-06_1,Bardowick bei L•À_neburg,53.2999,10.398,Elbe
678,MYOSD678_2016-06_1,"Timmendorf, Ostseetherme",54.0523131,10.7537596,Baltic Sea
679,MYOSD679_2016-06_1,Zato? Dolna/ Oder,53.016732,14.280668,Oder
680,MYOSD680_2016-06_1,Westmohlenfeuer Warnem•À_nde,54.186574,12.087353,Baltic Sea
681,MYOSD681_2016-06_1,"M•À_ndung M•À_hlenflie_, Ostsee",54.146217,11.869183,Warnow/Peene
682,MYOSD682_2016-06_1,Haaler Au,54.18390386,9.503915262,Eider
683,MYOSD683_2016-06_1,"Heidkate, Ostsee",54.43451836,10.31479471,Baltic Sea
689,MYOSD689_2016-06_1,Tollense,53.564064,13.236067,Warnow/Peene
690,MYOSD690_2016-06_1,Warnowufer,54.09790722,12.138578,Warnow/Peene
694,MYOSD694_2016-06_1,"G_ttingen, Leine",51.53113327,9.9208853,Weser
696,MYOSD696_2016-06_1,"Hamburg,Alster",53.560679,10.012407,Elbe
697,MYOSD697_2016-06_1,"T_nning, N_he Spielplatz",54.312184,8.949155,Eider
698,MYOSD698_2016-06_1,Hamburg Finkenwerder,53.5426082,9.85652253,Elbe
699,MYOSD699_2016-06_1,Burg (bei Magdeburg) Elbe-Havel-Kanal/ Ihle,52.27005,11.863688,Elbe
700,MYOSD700_2016-06_1,"Flensb•À_rger F_rde, Innen Hafen",54.79032161,9.437233982,Baltic Sea
