label	osd_id	local_date	water_depth	protocol	start_lat	start_lon	stop_lat	stop_lon
OSD123_2014-06-22_4m_NPL022	123	2014-06-22	4	NPL022	32.822	32.954	32.822	32.954
OSD124_2014-06-21_5m_NPL022	124	2014-06-21	5	NPL022	34.32444	135.12083	34.32444	135.12083
OSD124_2014-06-21_5m_NE08	124	2014-06-21	5	NE08	34.32444	135.12083	34.32444	135.12083
OSD125_2014-06-21_0m_NPL022	125	2014-06-21	0	NPL022	55.03306	-1.43278	55.03306	-1.43278
OSD126_2014-06-21_1m_NPL022	126	2014-06-21	1	NPL022	66.00691	-18.19653	66.00659	-18.19753
OSD127_2014-06-21_10m_NPL022	127	2014-06-21	10	NPL022	66.00776	-18.19531	66.00696	-18.19041
OSD128_2014-06-21_1m_NPL022	128	2014-06-21	1	NPL022	65.4886	-18.06080	65.4877	-18.06032
OSD129_2014-06-21_10m_NPL022	129	2014-06-21	10	NPL022	65.817186	-18.101835	65.48868	-18.06080
OSD130_2014-06-21_1m_NPL022	130	2014-06-21	1	NPL022	66.1316	-18.7902	66.1316	-18.7902
OSD131_2014-06-21_1m_NPL022	131	2014-06-21	1	NPL022	42.4138056	27.669	42.424831	27.699019
OSD132_2014-06-22_0.5m_NE08	132	2014-06-22	0.5	NE08	32.0694	34.8430	32.0694	34.8430
OSD132_2014-06-22_0.5m_NPL022	132	2014-06-22	0.5	NPL022	32.0694	34.8430	32.0694	34.8430
OSD133_2014-06-21_0m_NPL022	133	2014-06-21	0	NPL022	-33.897069	18.386825	-33.93572	18.47147
OSD135_2014-06-21_1m_NPL022	135	2014-06-21	1	NPL022	27.9011	-110.8717	27.9011	-110.8717
OSD136_2014-06-21_0.1m_NPL022	136	2014-06-21	0.1	NPL022	55.744929	12.094845	55.744929	12.094845
OSD137_2014-06-21_0.1m_NPL022	137	2014-06-21	0.1	NPL022	56.043860	12.613306	56.043860	12.613306
OSD141_2014-06-20_5m_NPL022	141	2014-06-20	5	NPL022	60.16121	5.11504	60.16121	5.11504
OSD141_2014-06-20_5m_NE08	141	2014-06-20	5	NE08	60.16121	5.11504	60.16121	5.11504
OSD142_2014-06-21_1m_NPL022	142	2014-06-21	1	NPL022	31.383607	-80.866685	31.383607	-80.866685
OSD142_2014-06-21_1m_NE08	142	2014-06-21	1	NE08	31.383607	-80.866685	31.383607	80.866685
OSD143_2014-06-21_1m_NPL022	143	2014-06-21	1	NPL022	31.982820	-81.01667	31.982820	-81.01667
OSD143_2014-06-21_1m_NE08	143	2014-06-21	1	NE08	31.982820	-81.01667	31.982820	-81.01667
OSD144_2014-06-24_0m_NPL022	144	2014-06-24	0	NPL022	21.26882	-157.72231	21.26882	-157.72231
OSD145_2014-06-21_0m_NPL022	145	2014-06-21	0	NPL022	51.361369	3.118856	51.361369	3.118856
OSD146_2014-06-21_5m_NPL022	146	2014-06-21	5	NPL022	78.453333	-2.829667	78.453333	-2.829667
OSD146_2014-06-21_5m_NE08	146	2014-06-21	5	NE08	78.453333	-2.829667	78.453333	-2.829667
OSD147_2014-06-21_0m_NPL022	147	2014-06-21	0	NPL022	8.873739	81.077344	8.873739	81.077344
OSD148_2014-06-21_0m_NPL022	148	2014-06-21	0	NPL022	53.580926	8.148636	53.580926	8.148636
OSD149_2014-06-21_0m_NE08	149	2014-06-21	0	NE08	-34.616	-54.266	-34.616	-54.266
OSD149_2014-06-21_0m_NPL022	149	2014-06-21	0	NPL022	-34.616	-54.266	-34.616	-54.266
OSD150_2014-06-21_0m_NE08	150	2014-06-21	0	NE08	-34.666	-54.2752	-34.666	-54.2752
OSD150_2014-06-21_0m_NPL022	150	2014-06-21	0	NPL022	-34.666	-54.2752	-34.666	-54.2752
OSD151_2014-06-21_0m_NPL022	151	2014-06-21	0	NPL022	-34.7	-54.266	-34.7	-54.266
OSD151_2014-06-21_0m_NE08	151	2014-06-21	0	NE08	-34.7	-54.266	-34.7	-54.266
OSD152_2014-06-20_5m_NPL022	152	2014-06-20	5	NPL022	44.6936	-63.6403	44.6936	-63.6403
OSD152_2014-06-20_10m_NPL022	152	2014-06-20	10	NPL022	44.6936	-63.6403	44.6936	-63.6403
OSD152_2014-06-20_1m_NE08	152	2014-06-20	1	NE08	44.6936	-63.6403	44.6936	-63.6403
OSD152_2014-06-20_1m_NPL022	152	2014-06-20	1	NPL022	44.6936	-63.6403	44.6936	-63.6403
OSD153_2014-06-21_0m_NPL022	153	2014-06-21	0	NPL022	36.997655	-7.981656	36.997655	-7.981656
OSD154_2014-06-20_1m_NPL022	154	2014-06-20	1	NPL022	44.66666	-1.16666	44.66666	-1.16666
OSD155_2014-06-21_12.8m_NPL022	155	2014-06-21	12.8	NPL022	59.81618	10.59863	59.81618	10.59863
OSD155_2014-06-21_1m_NPL022	155	2014-06-21	1	NPL022	59.81618	10.59863	59.81618	10.59863
OSD156_2014-06-21_11.8m_NPL022	156	2014-06-21	11.8	NPL022	59.89961	10.71999	59.89961	10.71999
OSD156_2014-06-21_1m_NPL022	156	2014-06-21	1	NPL022	59.89961	10.71999	59.89961	10.71999
OSD157_2014-06-20_80m_NPL022	157	2014-06-20	80	NPL022	59.6220	10.6282	59.6220	10.6282
OSD157_2014-06-20_1m_NPL022	157	2014-06-20	1	NPL022	59.6220	10.6282	59.6220	10.6282
OSD158_2014-06-21_0m_NPL022	158	2014-06-21	0	NPL022	37.4328	-25.19	37.4328	-25.19
OSD159_2014-07-19_2m_NE08	159	2014-07-19	2	NE08	48.359	-4.552	48.359	-4.552
OSD159_2014-06-21_2m_NPL022	159	2014-06-21	2	NPL022	48.359	-4.552	48.359	-4.552
OSD162_2014-06-23_1m_NPL022	162	2014-06-23	1	NPL022	56.9631	-2.1031	56.9631	-2.1031
OSD163_2014-06-20_2m_NPL022	163	2014-06-20	2	NPL022	58.957	-2.9726	58.957	-2.9726
OSD164_2014-06-13_2m_NPL022	164	2014-06-13	2	NPL022	60.14333	-1.28250	60.14333	-1.28250
OSD165_2014-06-23_2m_NPL022	165	2014-06-23	2	NPL022	57.8498	-5.6495	57.8498	-5.6495
OSD166_2014-06-21_0.5m_NPL022	166	2014-06-21	0.5	NPL022	43.2655	-2.89966	43.43287	-2.90056
OSD167_2014-06-21_0.1m_NPL022	167	2014-06-21	0.1	NPL022	65.7064	-18.1181	65.7064	-18.1181
OSD168_2014-06-21_2m_NPL022	168	2014-06-21	2	NPL022	38.41333	27.03421	38.41333	27.03421
OSD169_2014-06-21_0.1m_NPL022	169	2014-06-21	0.1	NPL022	51.796139	1.012958	51.796139	1.012958
OSD170_2014-06-25_3m_NPL022	170	2014-06-25	3	NPL022	51.269517	2.9047	51.2695	2.90465
OSD171_2014-06-25_3m_NPL022	171	2014-06-25	3	NPL022	51.307333	2.849333	51.307333	2.849333
OSD172_2014-06-25_3m_NPL022	172	2014-06-25	3	NPL022	51.37485	3.218333	51.37485	3.218333
OSD173_2014-06-25_3m_NPL022	173	2014-06-25	3	NPL022	51.441017	3.13995	51.441017	3.13995
OSD174_2014-06-25_3m_NPL022	174	2014-06-25	3	NPL022	51.471567	3.059167	51.471583	3.0592
OSD175_2014-06-24_3m_NPL022	175	2014-06-24	3	NPL022	51.334817	2.50215	51.334817	2.50215
OSD176_2014-06-24_3m_NPL022	176	2014-06-24	3	NPL022	51.2777	2.6135	51.277933	2.613667
OSD177_2014-06-24_3m_NPL022	177	2014-06-24	3	NPL022	51.18575	2.701667	51.185917	2.702133
OSD178_2014-06-24_3m_NPL022	178	2014-06-24	3	NPL022	51.580333	2.7897	51.580317	2.7897
OSD182_2014-06-24_3m_NPL022	182	2014-06-24	3	NPL022	51.458433	2.350467	51.458433	2.350467
OSD183_2014-06-24_3m_NPL022	183	2014-06-24	3	NPL022	51.74835	2.698	51.74835	2.698
OSD184_2014-06-24_3m_NPL022	184	2014-06-24	3	NPL022	51.682917	2.4152	51.682717	2.414967
OSD185_2014-06-24_3m_NPL022	185	2014-06-24	3	NPL022	51.481583	2.451483	51.481583	2.451483
OSD186_2014-06-21_2.4m_NPL022	186	2014-06-21	2.4	NPL022	38.885507	-76.541600	38.885507	-76.541600
OSD188_2014-06-24_0m_NPL022	188	2014-06-24	0	NPL022	-32.0000	115.4167	-32.0000	115.4167
OSD189_2014-06-24_0m_NPL022	189	2014-06-24	0	NPL022	-19.3050	147.6220	-19.3050	147.6220
OSD190_2014-07-13_0m_NPL022	190	2014-07-13	0	NPL022	-35.8372	136.4413	-35.8372	136.4413
OSD191_2014-07-02_0m_NPL022	191	2014-07-02	0	NPL022	-12.3382	130.6952	-12.3382	130.6952
