osd_id|site_name|version|marine_region|start_lat|start_lon|stop_lat|stop_lon|sample_depth|sample_date|water_temperature|salinity|ph|phospahte|nitrate|carbon_organic_particulate|nitrite|carbon_organic_dissolved_doc|nano_microplankton|downward_par|conductivity|primary_production_isotope_uptake|primary_production_oxygen|dissolved_oxygen_concentration|nitrogen_organic_particulate_pon|meso_macroplankton|bacterial_production_isotope_uptake|nitrogen_organic_dissolved_don|ammonium|silicate|bacterial_production_respiration|turbidity|fluorescence|pigment_concentration|picoplankton_flow_cytometry|other_params|remarks
OSD666|test|5|test|||||1|2014-07-02|24|30|will not be measured|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"test"
OSD64|Odessa|6|Territorial waters|4626493|03046557|4626493|03046557|1|2014-06-21|20.3|17.63|8.4|1|1|not determined|2|will not be measured|will not be measured|will not be measured|32.2|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|1|will not be measured|will not be measured|not determined|not determined|will not be measured|will not be measured|[{"param_name":"Phosphorus general","param_value":"3","uom":"mkgP/L"},{"param_name":"Nitrogen general","param_value":"337","uom":"mkgN/L"}]|
OSD64|Region of hydrobiology station46|6|Territorial waters|4626493|03046557|4626493|03046557|1|2014-06-21|20.3|17.63|8.4|1|1|will not be measured|2|will not be measured|will not be measured|will not be measured|32.2|will not be measured|will not be measured|will not be measured|will not be measured|not determined|not determined|not determined|1|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD64|Odessa|6|Territorial waters|4626493|03046557|4626493|03046557|1|2014-06-21|20.3|17.63|8.4|1|1|will not be measured|2|will not be measured|will not be measured|will not be measured|32.2|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|1|will not be measured|will not be measured|will not be measured|will not be measured|not determined|not determined|not determinded|
OSD64|Region of hydrobiology station|6|Coastal waters|4626493|03046557|4626493|03046557|1|2014-06-21|20.3|17.63|8.4|1|1|will not be measured|2|will not be measured|will not be measured|will not be measured|32.2|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|0.337|1|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|[{"param_name":"Phosphorus general","param_value":"3","uom":"mkgP/L"}]|
OSD64|Region of hydrobiology station|6|Coastal waters|4626493|03046557|4626493|03046557|1|2014-06-21|20.3|17.63|8.4|1|1|will not be measured|2|will not be measured|will not be measured|will not be measured|32.2|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|0.337|1|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|[{"param_name":"Phosphorus general","param_value":"3","uom":"mkgP/L"}]|
OSD64|Odessa|6|Territorial waters|4626493|03046557|4626493|03046557|1|2014-06-21|20.3|17.63|8.4|1|1|not determined|2|will not be measured|will not be measured|will not be measured|32.2|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|1|will not be measured|will not be measured|not determined|not determined|will not be measured|will not be measured|[{"param_name":"Phosphorus general","param_value":"3","uom":"mkgP/L"},{"param_name":"Nitrogen general","param_value":"337","uom":"mkgN/L"}]|
OSD64|Odessa|6|Territorial waters|4626493|03046557|4626493|03046557|1|2014-06-21|20.3|17.63|8.4|1|1|not determined|2|not determined|not determined|not determined|32.2|not determined|not determined|not determined|not determined|not determined|not determined|not determined|1|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD64|Odessa|6|Territorial waters|4626493|03046557|4626493|03046557|1|2014-06-21|20.3|17.63|8.4|1|1|not determined|2|will not be measured|will not be measured|will not be measured|32.2|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|1|will not be measured|will not be measured|not determined|not determined|will not be measured|will not be measured|[{"param_name":"Phosphorus general","param_value":"3","uom":"mkgP/L"},{"param_name":"Nitrogen general","param_value":"337","uom":"mkgN/L"}]|
OSD64|Region of hydrobiology station|6|Coastal waters|4626493|03046557|4626493|03046557|1|2014-06-21|20.3|17.63|8.4|1|1|will not be measured|2|will not be measured|will not be measured|will not be measured|32.2|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|0.337|1|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|[{"param_name":"Phosphorus general","param_value":"3","uom":"mkgP/L"}]|
OSD63|VENICE ACQUA ALTA|6|Adriatic Sea|45.314350|12.508317|45.314350|12.508317||2014-06-20|21.781|32.768|8.65|0.06|6.17|to be measured|0.17|will not be measured|will not be measured|will not be measured|46.894|will not be measured|will not be measured|302.7|to be measured|will not be measured|will not be measured|will not be measured|0.6|5.52|will not be measured|2.77|0.34|0.93|will not be measured|not determinded|"Unfortunately, in contrast with what we wrote on the logsheet, we will not be able to measure meso/macroplankton anymore."
OSD63|VENICE ACQUA ALTA|6|Adriatic Sea|45.314350|12.508317|45.314350|12.508317||2014-06-20|21.781|32.768|8.65|0.06|6.17|to be measured|0.17|will not be measured|will not be measured|will not be measured|46.894|will not be measured|will not be measured|302.7|to be measured|will not be measured|will not be measured|will not be measured|0.6|5.52|will not be measured|2.77|0.34|0.93|will not be measured|not determinded|"Unfortunately, in contrast with what we wrote on the logsheet, we will not be able to measure meso/macroplankton anymore."
OSD62|OSD62 Bangor|6|Atlantic Ocean, Irish Sea|+53.225417|-4.159028|+53.225417|-4.159028||2014-06-21|16|34|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"filters labeled 2 and 3; 4 and 5; 6 and 7 are duplicates (filtration through two filters was running in parallel) "
OSD62|OSD62 Bangor|6|Atlantic Ocean, Irish Sea|+53.225417|-4.159028|+53.225417|-4.159028||2014-06-21|16|34|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"filters labeled 2 and 3; 4 and 5; 6 and 7 are duplicates (filtration through two filters was running in parallel) "
OSD61|Vineyard Sound|6|Northwest Atlantic Ocean|+41.524467|-70.672174|+41.524467|-70.672174|0.5|2014-06-21|19.2|30.7|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|7.38|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"For the section SAMPLE_Size-Fraction_Upper-Threshold, we did not perform any pre-filtration. So in this field, I entered 0."
OSD60|North Inlet, SC|6|North Inlet, SC|33.32306|79.16763|33.32306|79.16763|0.1|2014-06-19|27.77|35.13|7.92|not determined|not determined|not determined|not determined|not determined|not determined|not determined|53.34|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD60|North Inlet, SC|6|mouth of North Inlet, SC|33.32306|79.16763|33.32306|79.16763|0.1|2014-06-19|27.77|35.13|7.92|not determined|not determined|not determined|not determined|not determined|not determined|not determined|53.34|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD6|Blanes Bay Microbial Observatory|6|NW Mediterranean Sea|41.6666|2.8|41.6666|2.8|1|2014-06-21|20.66|37.83|to be measured|to be measured|to be measured|to be measured|to be measured|not determined|to be measured|2055|not determined|not determined|not determined|not determined|to be measured|to be measured|to be measured|to be measured|to be measured|to be measured|not determined|not determined|0.14|0.15|to be measured|not determinded|
OSD58|PICO (Pivers Island Coastal Observatory)|6|coastal North Carolina, USA|34.7181|-76.6707|34.7181|-76.6707|1|2014-06-21|25.8|35.8|to be measured|to be measured|to be measured|will not be measured|to be measured|will not be measured|to be measured|will not be measured|will not be measured|will not be measured|will not be measured|to be measured|will not be measured|will not be measured|will not be measured|will not be measured|to be measured|to be measured|will not be measured|5.03|2.26|to be measured|to be measured|not determinded|
